,userName,score,at,content,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_akhir,polarity_score,sentiment
0,Pengguna Google,5,2025-09-25 09:50:09,sangat membantu mengontrol makanan harian,sangat membantu mengontrol makanan harian,sangat membantu mengontrol makanan harian,sangat membantu mengontrol makanan harian,"['sangat', 'membantu', 'mengontrol', 'makanan', 'harian']","['membantu', 'mengontrol', 'makanan', 'harian']",membantu mengontrol makanan harian,3,Positive
1,Pengguna Google,5,2025-09-25 06:01:24,Sangat membantu...!,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,0,Neutral
2,Pengguna Google,5,2025-09-20 06:00:53,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,0,Neutral
3,Pengguna Google,5,2025-09-19 05:57:22,Terima kasih. sangat membantu,Terima kasih sangat membantu,terima kasih sangat membantu,terima kasih sangat membantu,"['terima', 'kasih', 'sangat', 'membantu']","['terima', 'kasih', 'membantu']",terima kasih membantu,3,Positive
4,Pengguna Google,5,2025-09-18 20:45:47,"sangatlah baguss, saya bis akonsisten memakai ini",sangatlah baguss saya bis akonsisten memakai ini,sangatlah baguss saya bis akonsisten memakai ini,sangatlah baguss saya bis akonsisten memakai ini,"['sangatlah', 'baguss', 'saya', 'bis', 'akonsisten', 'memakai', 'ini']","['baguss', 'bis', 'akonsisten', 'memakai']",baguss bis akonsisten memakai,0,Neutral
5,Pengguna Google,5,2025-09-18 11:23:05,penggunaanku sudah lebih dari 1 th untuk penurunan bb/ kebugaran. mudah digunakan gampanv simple gen z bgt sih ga lemot .. saran dan masukan jangan beralih ke berbayar ya,penggunaanku sudah lebih dari  th untuk penurunan bb kebugaran mudah digunakan gampanv simple gen z bgt sih ga lemot  saran dan masukan jangan beralih ke berbayar ya,penggunaanku sudah lebih dari  th untuk penurunan bb kebugaran mudah digunakan gampanv simple gen z bgt sih ga lemot  saran dan masukan jangan beralih ke berbayar ya,penggunaanku sudah lebih dari th untuk penurunan bb kebugaran mudah digunakan gampanv simple gen z banget sih tidak lemot saran dan masukan jangan beralih ke berbayar ya,"['penggunaanku', 'sudah', 'lebih', 'dari', 'th', 'untuk', 'penurunan', 'bb', 'kebugaran', 'mudah', 'digunakan', 'gampanv', 'simple', 'gen', 'z', 'banget', 'sih', 'tidak', 'lemot', 'saran', 'dan', 'masukan', 'jangan', 'beralih', 'ke', 'berbayar', 'ya']","['penggunaanku', 'th', 'penurunan', 'bb', 'kebugaran', 'mudah', 'gampanv', 'simple', 'gen', 'z', 'banget', 'lemot', 'saran', 'masukan', 'beralih', 'berbayar']",penggunaanku th penurunan bb kebugaran mudah gampanv simple gen z banget lemot saran masukan beralih berbayar,-10,Negative
6,Pengguna Google,5,2025-09-15 20:57:57,"bagus,membantu banget",bagusmembantu banget,bagusmembantu banget,bagusmembantu banget,"['bagusmembantu', 'banget']","['bagusmembantu', 'banget']",bagusmembantu banget,1,Positive
7,Pengguna Google,5,2025-09-15 06:23:43,Buat yang lagi Defisit Kalori cocok banget mudah digunakan tulisannya juga tidak terlalu kecil. Siapkan timbangan makanan dan juga hitung kebutuhan kalori Anda di TDEE Calculator.,Buat yang lagi Defisit Kalori cocok banget mudah digunakan tulisannya juga tidak terlalu kecil Siapkan timbangan makanan dan juga hitung kebutuhan kalori Anda di TDEE Calculator,buat yang lagi defisit kalori cocok banget mudah digunakan tulisannya juga tidak terlalu kecil siapkan timbangan makanan dan juga hitung kebutuhan kalori anda di tdee calculator,buat yang lagi defisit kalori cocok banget mudah digunakan tulisannya juga tidak terlalu kecil siapkan timbangan makanan dan juga hitung kebutuhan kalori anda di tdee calculator,"['buat', 'yang', 'lagi', 'defisit', 'kalori', 'cocok', 'banget', 'mudah', 'digunakan', 'tulisannya', 'juga', 'tidak', 'terlalu', 'kecil', 'siapkan', 'timbangan', 'makanan', 'dan', 'juga', 'hitung', 'kebutuhan', 'kalori', 'anda', 'di', 'tdee', 'calculator']","['defisit', 'kalori', 'cocok', 'banget', 'mudah', 'tulisannya', 'siapkan', 'timbangan', 'makanan', 'hitung', 'kebutuhan', 'kalori', 'tdee', 'calculator']",defisit kalori cocok banget mudah tulisannya siapkan timbangan makanan hitung kebutuhan kalori tdee calculator,5,Positive
8,Pengguna Google,3,2025-09-11 07:21:33,cocok sekali buat yg lagi diet ngitung kalori,cocok sekali buat yg lagi diet ngitung kalori,cocok sekali buat yg lagi diet ngitung kalori,cocok sekali buat yang lagi diet ngitung kalori,"['cocok', 'sekali', 'buat', 'yang', 'lagi', 'diet', 'ngitung', 'kalori']","['cocok', 'diet', 'ngitung', 'kalori']",cocok diet ngitung kalori,-2,Negative
9,Pengguna Google,1,2025-09-07 08:24:26,buat hitung kalori aja harus premium jadi fungsi apk ini apa?,buat hitung kalori aja harus premium jadi fungsi apk ini apa,buat hitung kalori aja harus premium jadi fungsi apk ini apa,buat hitung kalori aja harus premium jadi fungsi apk ini apa,"['buat', 'hitung', 'kalori', 'aja', 'harus', 'premium', 'jadi', 'fungsi', 'apk', 'ini', 'apa']","['hitung', 'kalori', 'aja', 'premium', 'fungsi', 'apk']",hitung kalori aja premium fungsi apk,4,Positive
10,Pengguna Google,5,2025-09-04 23:07:20,aplikasinya bagus..makanan lengkap terima kasih,aplikasinya bagusmakanan lengkap terima kasih,aplikasinya bagusmakanan lengkap terima kasih,aplikasinya bagusmakanan lengkap terima kasih,"['aplikasinya', 'bagusmakanan', 'lengkap', 'terima', 'kasih']","['aplikasinya', 'bagusmakanan', 'lengkap', 'terima', 'kasih']",aplikasinya bagusmakanan lengkap terima kasih,2,Positive
11,Pengguna Google,5,2025-09-04 17:30:18,keren.. jadi mudah memantau kwbutuhan kalori harian,keren jadi mudah memantau kwbutuhan kalori harian,keren jadi mudah memantau kwbutuhan kalori harian,keren jadi mudah memantau kwbutuhan kalori harian,"['keren', 'jadi', 'mudah', 'memantau', 'kwbutuhan', 'kalori', 'harian']","['keren', 'mudah', 'memantau', 'kwbutuhan', 'kalori', 'harian']",keren mudah memantau kwbutuhan kalori harian,3,Positive
