userName,score,at,content
Pengguna Google,5,2025-09-25 09:50:09,sangat membantu mengontrol makanan harian
Pengguna Google,5,2025-09-25 06:01:24,Sangat membantu...!
Pengguna Google,5,2025-09-20 06:00:53,sangat membantu
Pengguna Google,5,2025-09-19 05:57:22,Terima kasih. sangat membantu
Pengguna Google,5,2025-09-18 20:45:47,"sangatlah baguss, saya bis akonsisten memakai ini"
Pengguna Google,5,2025-09-18 11:23:05,penggunaanku sudah lebih dari 1 th untuk penurunan bb/ kebugaran. mudah digunakan gampanv simple gen z bgt sih ga lemot .. saran dan masukan jangan beralih ke berbayar ya
Pengguna Google,5,2025-09-15 20:57:57,"bagus,membantu banget"
Pengguna Google,5,2025-09-15 06:23:43,Buat yang lagi Defisit Kalori cocok banget mudah digunakan tulisannya juga tidak terlalu kecil. Siapkan timbangan makanan dan juga hitung kebutuhan kalori Anda di TDEE Calculator.
Pengguna Google,3,2025-09-11 07:21:33,cocok sekali buat yg lagi diet ngitung kalori
Pengguna Google,1,2025-09-07 08:24:26,buat hitung kalori aja harus premium jadi fungsi apk ini apa?
Pengguna Google,5,2025-09-04 23:07:20,aplikasinya bagus..makanan lengkap terima kasih
Pengguna Google,5,2025-09-04 17:30:18,keren.. jadi mudah memantau kwbutuhan kalori harian
Pengguna Google,5,2025-09-04 10:25:43,cocok utk yg sdg diet
Pengguna Google,5,2025-09-03 23:58:31,mudah digunakan
Pengguna Google,5,2025-09-03 13:30:37,aplikasi ini sangat bermanfaat & membantu sekali untuk program diet
Pengguna Google,5,2025-09-03 11:00:41,sangat membantu program diet saya
Pengguna Google,5,2025-09-02 05:30:47,Membantu memantau kalori yg masuk ke badan sangat membantu
Pengguna Google,5,2025-09-01 19:17:56,terima kasih fat secret sudah menemani dietku
Pengguna Google,5,2025-08-28 20:56:42,aplikasi bagus
Pengguna Google,5,2025-08-24 09:34:34,sangat membantu saya dalam menjalankan diet sebat
Pengguna Google,1,2025-08-22 09:09:13,"Memberikan perhitungan yang salah, cari caloric deficit malah diberi caloric surplus, tolong perhitungan aplikasi bisa diperbaiki"
Pengguna Google,5,2025-08-20 09:23:58,Good
Pengguna Google,5,2025-08-20 05:17:09,sangat membantu untuk tracking makanan
Pengguna Google,5,2025-08-19 16:09:42,"dapat memantau berat badan dari berat awal sampai berat yang dituju dengan memasukan asupan makanan setiap hari , tiap Minggu dapat laporan rentetan kalori dan mengupdate berat badan"
Pengguna Google,5,2025-08-18 08:44:06,bagus membantu mengontrol berat badan dan makan
Pengguna Google,5,2025-08-16 13:24:59,bgus
Pengguna Google,5,2025-08-16 12:36:48,"bagus, tp sebaiknya di update lagi data makanannya, kadang byk yang ga ada."
Pengguna Google,5,2025-08-11 13:05:33,bagus bgt diet
Pengguna Google,5,2025-08-11 08:17:45,Alhamdulillah Barokallah dengan aplikasi ini saya bisa mengontrol kalori makanan yang saya akan makan.semoga saya bisa menurunkan BB saya Sesuai Idealnya.semamgat menuju 53kg🥰🥰🥰🥰 terimakasih fatscret😍😍
Pengguna Google,2,2025-08-07 13:01:59,"bagus, ada komunitasnya tapi ga bisa catat makanan diluar dari apa yang ada di aplikasi, contoh kayak donat milo. itu ga ada sama sekali di aplikasi, ga bisa tambah menu itu juga. capek"
Pengguna Google,5,2025-08-07 10:18:44,Mantap mmbantu banget ngitung kalori harian
Pengguna Google,5,2025-08-06 17:47:12,Membantu mengontrol masukan kalori
Pengguna Google,5,2025-08-05 11:07:54,sangat membantu
Pengguna Google,5,2025-08-04 15:37:30,Sangat membantu untuk diet
Pengguna Google,5,2025-08-03 13:25:21,okee
Pengguna Google,5,2025-08-02 07:15:18,Sangat membantu mengontrol kebutuhan gizi
Pengguna Google,5,2025-08-01 08:18:31,"Bagi yg mau diet, harus banget download aplikasi ini."
Pengguna Google,5,2025-07-31 16:53:53,love fatsecret. sangat membantu programku. thankyou fatsecret.
